first_language_Turkish,first_language_Arabic,age,sex,years_spent_in_Germany,Self-assessment_Reading_L2,ReadingL2_Text1,ReadingL2_Text2,ReadingL2_Text3
1,0,59,1,19,3.66,82,67,63
1,0,43,1,11,3.16,99,79,87
1,0,39,1,12,2.66,75,80,70
1,0,45,1,26,3.66,104,102,87
1,0,34,1,16,4.33,131,129,119
1,0,34,1,13,3.33,92,71,75
1,0,43,1,25,3,141,104,142
1,0,54,1,15,3.33,72,67,69
1,0,60,1,40,3.16,92,79,87
1,0,69,1,38,2.83,20,31,25
0,1,33,1,11,0,30,22,29
0,1,63,1,3,2,16,16,29
0,1,49,0,10,4.66,77,71,61
0,1,45,1,10,4.33,16,16,0
0,1,30,1,10,5.5,104,43,53
0,1,45,1,11,4.33,99,99,87
0,1,46,1,8,6,72,71,69
0,1,55,1,12,5.5,69,67,53
0,1,52,0,11,6,36,36,53
0,1,62,1,10,3.83,64,55,61
0,1,60,1,11,3.66,72,67,69
0,1,46,1,11,5.33,20,11,0
0,1,43,1,12,3.16,118,104,100
0,1,44,1,13,2.33,77,75,71
0,1,29,1,11,3.16,40,0,0
0,1,47,1,15,4.66,87,79,69